Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0.0910232,0.707821315,2.064079602,4.012711975,8.195869376,14.76202268,24.2911387,35.88696104,0
Albania,ALB,0,0,0,0,0,0,0.073893279,0.10673042,0.181875047,0.358248786,0.969804574,12.75923855,27.54243185,35.40733402,40.30867293,48.70596473,60.50436434,73.27070842,98.73608984,130.3468857,
Algeria,DZA,0.001857768,0.018437704,0.01800213,0.017596677,0.004857468,0.016580899,0.040643551,0.059501588,0.060659788,0.239210526,0.281654835,0.322765829,1.431989621,4.533907979,15.0710173,41.53845929,62.88327422,81.29012032,78.51588828,93.64711494,
American Samoa,ASM,0,0,1.409925878,1.771618669,2.31280717,2.362100569,2.411829094,2.553160448,2.690824289,3.176451903,3.456832972,3.67711016,3.411128051,3.455425017,3.63659873,,,,,,
Andorra,ADO,0,0,1.332940952,1.285643646,1.242255708,4.366373514,8.413693716,13.27786765,21.97335243,32.19504571,36.42510134,44.32745895,47.49214258,71.87097489,77.51952399,82.88824979,86.39106593,78.02309866,77.74804122,,
Angola,AGO,0,0,0,0.009673093,0.015532711,0.016472389,0.026484163,0.055127184,0.074743507,0.17762548,0.185303094,0.521258883,0.940198411,2.269787897,4.6373295,9.770852982,17.95740315,28.31059686,37.55055726,43.70450412,
Antigua and Barbuda,ATG,0,,,,,,1.845280341,1.935787174,2.021835827,11.18641837,28.33007108,31.5796122,47.45550076,56.41490039,65.18747435,102.4834358,129.6932385,130.7744225,157.2173433,153.6696203,
Argentina,ARG,0.036761955,0.075543355,0.13890867,0.329585912,0.700640714,1.163084605,1.890265151,5.625303077,7.391416802,10.53300661,17.56789993,18.07348141,17.43814088,20.63677588,35.24285031,57.27961101,80.74649221,102.6257475,117.1083925,129.525214,
Armenia,ARM,0,0,0,0,0,0,0.009457204,0.159497977,0.251873452,0.264056708,0.568447429,0.831884559,2.330853915,3.737199213,6.638418448,10.37341069,41.03667809,61.03775282,75.86664489,84.92764456,
Aruba,ABW,0,0,0.02928858,,,2.138864335,3.611455537,3.994786346,6.196229284,13.5682142,16.61663214,57.38228511,65.33045795,72.20851613,99.33667185,102.3971246,106.1522135,108.9815303,114.4798438,120.0615315,
Australia,AUS,1.083749875,1.686293682,2.84081166,3.905586687,6.832819938,12.40593183,21.79018077,24.7232273,26.28400406,33.366797,44.70317966,57.34301757,64.47377795,72.11214653,81.87843437,90.31713966,95.46862242,100.8897853,102.8908994,110.3331405,
Austria,AUT,0.95576615,1.479721689,2.215902075,2.785547677,3.508738961,4.822479177,7.516767805,14.54877836,28.72422427,53.11539872,76.35216626,81.32521799,83.32880466,89.60555816,97.7650556,105.2433411,112.056567,119.41035,129.7360682,140.7365568,
Azerbaijan,AZE,0,0,0,0,0.006581545,0.07807417,0.218987505,0.510334269,0.821433085,4.634849054,5.223310965,8.999963752,9.718678526,12.83817035,17.53494938,26.71639746,39.17119942,52.66101873,74.71985759,86.69934001,
"Bahamas, The",BHS,0.750406047,0.774406257,0.978322628,0.886956457,,1.465468557,1.744237284,2.158646598,2.777978532,5.412125665,10.59092696,20.07751835,39.81641656,39.4028388,59.09880885,71.32152631,78.06650497,113.7255558,107.3095147,106.0450765,
Bahrain,BHR,1.044247105,1.451394851,1.863204643,2.13388634,3.230343517,4.936778823,6.971477473,9.872577093,15.06175182,21.29474364,32.23585969,46.62760113,60.58373698,68.46935244,96.72561629,105.8354845,111.8340913,120.55085,136.9097428,134.9204585,
Bangladesh,BGD,0,0,0.000226808,0.000443871,0.000959508,0.002127896,0.003335316,0.021246968,0.06009454,0.117124699,0.21529061,0.394104846,0.800646905,0.999891821,2.006414024,6.401687906,13.43906814,23.87521729,30.68498876,34.27868482,
Barbados,BRB,0,0.186671071,0.304822008,0.59568131,1.129696121,1.751602029,2.377789636,3.022769797,4.512279039,7.613267456,10.64143157,19.80334984,36.15636149,51.96945681,74.13973854,76.22466294,87.47777261,94.83760281,106.0555515,123.5787351,
