Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,AFG,0.14059952,0.12667365,0.070087952,0.065349374,0.060677693,0.056405188,0.051796809,0.046788717,0.043069749,0.032985116,0.030073506,0.024154535,0.013073553,0.020617986,0.024200921,0.023401601,0.022638126,0.022594158,,,
Albania,ALB,2.274487511,1.205492003,0.730112155,0.726005542,0.606164226,0.663721204,0.647433638,0.498898089,0.568811612,0.973020365,0.985223266,1.048939714,1.213120166,1.340962004,1.616921841,1.428607804,1.324404337,1.337443547,,,
Algeria,DZA,3.115948966,3.13884837,3.094909554,3.033026066,3.109062903,3.344296614,3.351799841,3.013477212,3.605633461,3.892367224,3.82421817,3.668823409,3.845342424,3.82135213,3.761373856,4.218533504,3.995600138,4.129139559,,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,,,,,,6.286094066,6.516074632,7.056467144,7.528064004,8.016878956,8.106445524,7.892031933,7.694914763,7.408888827,7.494235775,7.385579293,6.83496507,6.617618872,,,
Angola,AGO,0.42826219,0.409613541,0.401268392,0.509723481,0.331049752,0.908954693,0.841800008,0.576570931,0.55580794,0.677123725,0.684580831,0.67584731,0.84990283,0.559106606,1.128535494,1.198148028,1.215275909,1.411838736,,,
Antigua and Barbuda,ATG,4.830198386,4.670937311,4.594213348,4.717741194,4.655654384,4.69729903,4.576749468,4.660933049,4.494190592,4.580904126,4.435149892,4.350609487,4.505645472,4.752851339,4.909630846,4.890223557,5.003107637,5.073788328,,,
Argentina,ARG,3.447090141,3.533179896,3.618006344,3.487492141,3.580719686,3.513029807,3.658900404,3.767828518,3.806906846,3.978245933,3.816915836,3.762704722,3.486689182,3.765503825,4.051151179,4.092700185,4.393643375,4.663104151,,,
Armenia,ARM,,,1.066295646,0.868608905,0.900817495,1.082203158,0.821233314,1.04490825,1.094803932,0.988724607,1.125607832,1.154482502,0.980316994,1.119352901,1.189186224,1.417341552,1.425093914,1.643577916,,,
Aruba,ABW,29.59640852,29.81442406,25.21863925,24.38526725,23.19772804,22.44298644,22.09806306,22.02848722,19.4958711,19.3055788,25.00275836,24.51579096,24.16947862,23.63870968,23.12057024,22.85555864,22.47393171,22.99118254,,,
Australia,AUS,17.16240608,16.58360657,16.94508374,17.24155997,17.18047651,17.16577512,18.10009197,18.02596187,18.68951355,17.31755934,17.16740772,16.59529841,17.09297373,17.06419132,16.9088228,17.84607371,17.94727852,17.7358639,,,
Austria,AUT,7.89926963,8.441544377,7.771474506,7.336090726,7.257068898,7.6163382,7.658321705,7.688726146,7.878384373,7.70923945,7.701590711,7.902434965,8.051731851,8.636203898,8.491827712,8.829237365,8.658754007,8.273232855,,,
Azerbaijan,AZE,,,5.978941208,5.770494463,5.574373042,4.366763305,4.062825196,3.820133708,3.989513964,3.667212827,3.7921337,3.626441942,3.668980049,3.845980156,4.027294714,4.190185478,4.129721906,3.699737802,,,
"Bahamas, The",BHS,7.610444778,6.826674845,6.741756691,6.334487128,6.23912049,6.181446453,6.096398369,6.059529902,6.166121189,6.106915929,6.03176203,5.952666724,6.805576175,6.023965106,6.379482682,6.596985202,6.591595539,6.528910391,,,
