Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,0,0,20000000,58000000,53000000,70000000,90100000,47500000,45010000,41200000,143000000,207300000,135000000,178036400.7,327681210.2,258417488.7,314638316.8,647365283.8,874462763.4,924483303.3,1109371139
Algeria,DZA,-4353889.335,-38651265.71,,,,,,,,,,,,,,1101000000,1762000000,1367000000,2277000000,2545000000,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,-335700000,664500000,287956000,302100000,170300000,472427000,180559000,411660000,1113970000,2471460000,878620000,2145470000,1643393000,3481071780,1413991820,-1523198987,-228299945.9,-1805123607,-890672963.9,2198545055,
Antigua and Barbuda,ATG,60607407.41,54792592.59,19648148.15,15240740.74,24788888.89,31485185.19,19351851.85,22944444.44,22774074.07,51792533.33,43115925.93,98452222.22,65865064.81,166321143.7,80366585.19,220963374.1,358820163.7,338204733.3,174188641.1,118054060,57498124.81
Argentina,ARG,1836000000,2439000000,3265063223,2088015410,2622087878,4112274404,5347787687,5507454052,4965180132,22257413390,9517286140,2005260142,2776050000,878230000,3448720000,3954200000,3098620000,4968940000,8334630152,3305612521,5372408182
Armenia,ARM,,,,800000,8000000,25320000,17570000,51940000,220830000,122040000,104190000,69868500,110738700,120512200,245605451.6,232661771,450092747.2,700960000,925224598.8,724779397.4,561810000
Aruba,ABW,130502793.3,184748603.4,-36983240.22,-17932960.89,-73184357.54,-5530726.257,84134078.21,197597765.4,82178770.95,467262569.8,-127653631.3,-262793296.1,267430167.6,157765363.1,144189944.1,109720670.4,577653631.3,-155921787.7,197541899.4,71955307.26,156815642.5
Australia,AUS,7098072621,3101819006,554043732.3,2375964166,2183957724,8759597125,-870520980.2,1263475954,2611061408,3733168103,10342799895,-3705726627,9198634909,-9192479318,25771316273,-1660553561,2481744581,21110170652,9170272431,11524773706,6049837309
Austria,AUT,-1047493118,-933336841.4,-250193083,-60048858.53,860302385.3,766689674.6,2637134064,640563939.3,1866461216,-298957510,2927152401,2773841389,-5425807639,-45181887.79,-4532534301,-193822310.2,-3049590545,-7610185344,-22934098025,3280294328,-5233317102
Azerbaijan,AZE,,,,,,330050000,627277000,1114834000,1022947000,510317000,129177000,226513000,1066821000,2351747000,2351283000,459151000,-1289475000,-5034521000,-540824000,147181000,331155000
"Bahamas, The",BHS,-17200000,0,0,27000000,23500000,106700000,88100000,209600000,145900000,149100000,250250000,102370000,152790000,190200000,273600000,563414700,706380000,713350000,860156197,663960301.3,861476000
Bahrain,BHR,-207712766,569414893.6,815691489.4,-313829796.3,9574468.976,446662590.6,1743329780,281638617.2,-1369868.848,290386397.1,354009613.6,-135596788.5,26956705.94,-224654326.6,-170330179.2,-86771034.28,1934606677,87163578.61,173519631.1,2048638923,-178271544
Bangladesh,BGD,3238781.189,1390444.322,3721853.382,14049886.52,11147788.33,1896372.127,13529831.54,136310534.1,187057212.5,179603006.3,280384629.7,78527040.08,49662443.99,265507414.1,444836578,811382056.1,697206284.1,652818718.9,1009623164,713383102.5,967400932.5
Barbados,BRB,9800000,6100000,13600000,6800000,11850000,8450000,9750000,13600000,14800000,16050000,18350000,17450000,16931000,57750000,-15985411.5,52816442.5,90980068.66,36050802.27,222478952.1,218127468.5,
Belarus,BLR,,,,17600000,10500000,14700000,104500000,349500000,200900000,443200000,118600000,95500000,453300000,170300000,162500000,302500000,351000000,1770000000,2150000000,1782200000,1306600000
