Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,AFG,,,,,,,,,,,,,568.5519405,631.7827184,672.0791871,748.1128079,808.9020619,874.1979874,879.032667,,
Albania,ALB,3913.959842,2754.006434,2575.049845,2859.082464,3140.657796,3601.798359,3965.548747,3584.897992,4057.060937,4475.999853,4804.106496,5131.170107,5258.784272,5528.256205,5820.400583,6107.416016,6382.705741,6731.439298,7223.02527,7434.916272,7667.374419
Algeria,DZA,6211.339788,5987.379872,5951.160145,5694.965499,5525.516391,5625.910457,5755.813183,5728.374113,5933.120682,6036.459463,6081.408236,6149.22366,6344.119808,6681.642459,6924.379244,7168.564544,7201.681842,7305.142336,7367.171813,7409.508836,7520.791452
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,3290.835136,3154.153425,2843.268389,2071.538885,2076.26681,2223.623503,2403.644338,2524.698672,2625.4796,2635.650635,2634.170829,2629.720375,2909.232829,2902.280315,3118.142778,3639.65212,4183.035114,4981.757803,5508.133749,5483.126928,5454.38381
Antigua and Barbuda,ATG,12656.21854,12800.36031,12696.89115,13086.72199,13570.12879,12672.38229,13179.30812,13465.42497,13704.95235,13932.71935,13834.76751,13871.1998,13984.13609,14475.87821,15284.22594,15719.75669,17589.71167,18966.6473,18792.52655,16563.5177,14850.85143
Argentina,ARG,7458.293769,8288.683674,9154.913719,9569.573112,9999.099304,9593.417106,9999.691346,10681.27274,10963.67841,10474.70439,10282.40569,9731.205523,8589.246354,9263.679689,10010.70849,10833.40561,11647.3845,12544.62012,13275.68445,13272.2035,14362.61581
Armenia,ARM,2936.04207,2616.622334,1550.291193,1447.243804,1562.403179,1705.117732,1834.144407,1917.635864,2074.654873,2155.930912,2293.912274,2522.564561,2859.621519,3260.514957,3600.447988,4096.440119,4631.294153,5260.628054,5614.724318,4804.386199,4838.931526
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,23979.17996,23608.25627,23459.55002,24160.65282,24824.67176,25527.6501,26247.58623,26967.8528,27870.53633,28975.72017,29763.28444,29946.07422,30715.79561,31297.81298,32217.8379,32698.43539,33208.72325,33848.10735,34414.90535,34139.22579,
Austria,AUT,25664.80251,26222.24157,26773.49571,26378.09423,26961.82281,27561.86965,28134.38261,28710.2428,29700.17027,30616.49708,31697.17686,31737.42396,32098.14948,32219.13519,32809.01084,33376.79345,34372.77824,35575.81226,36193.37072,34668.20208,35266.12433
Azerbaijan,AZE,4753.926502,4647.933751,3543.406632,2683.797458,2126.154369,1853.794686,1859.025573,1948.028735,2122.521692,2259.599423,2489.974032,2715.358874,2980.861493,3289.700123,3593.668509,4496.143936,5981.242209,7395.156017,8023.568247,8589.653198,8918.712931
"Bahamas, The",BHS,23611.18922,22214.70174,20969.65654,20650.35109,20935.19616,21512.29343,21707.11362,23133.29563,23940.98769,25342.77679,26057.16636,26384.07759,26724.73668,26003.17,25858.90284,26351.38183,25219.06749,25199.27665,24513.88549,22868.21609,22769.92232
Bahrain,BHR,17909.58849,19378.51012,20157.31851,22210.25977,21627.93185,21925.47795,22197.50003,22186.64754,22555.18217,22942.2258,23725.56667,24650.19865,25964.58002,27614.94073,28093.65495,28068.47168,26752.5515,25404.38292,23755.4762,,
Bangladesh,BGD,747.1902955,754.1384758,774.4845794,792.5134772,807.5819563,829.844683,850.5234198,878.4605497,906.362208,932.477445,969.7849603,1002.730381,1028.899387,1065.142089,1114.633367,1164.596077,1226.399293,1290.693441,1356.258493,1418.986839,1484.995695
