Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,AFG,,,,,,0,0,0,6.134512699,7.628519691,8.2948331,9.035596642,7.472657687,8.447279499,8.692726513,8.756901978,7.83850759,7.558469558,7.356009139,7.356009139,
Albania,ALB,,,,,,3.214736335,4.04188609,4.806430383,5.338640181,5.833765794,6.35004376,6.044853914,6.259693388,6.163814692,6.883454444,6.840532168,7.003382231,6.88609002,6.800006717,6.879876798,
Algeria,DZA,,,,,,4.173543181,3.788035203,4.060304704,4.063201467,3.868854205,3.489032788,3.837876961,3.64972555,3.634494338,3.717183492,3.540575343,4.255280365,4.362211497,5.351949149,5.793599306,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,,,,,,0.444738584,8.029189043,8.026649013,9.847285163,7.352159924,7.585248606,6.792217876,7.044590834,7.12029464,7.111579906,7.224214742,7.443894781,7.553075588,7.5445892,7.738090101,
Angola,AGO,,,,,,3.784671533,2.164751646,2.260721177,1.855333632,1.937972771,2.408961536,3.449841683,2.364107908,2.639531245,2.086834013,1.959893461,2.415178132,2.451813172,3.341434418,4.562504304,
Antigua and Barbuda,ATG,,,,,,5.236859085,5.141476172,4.899080225,4.772628171,4.676056658,4.767773199,5.340823253,5.372576501,4.981828375,4.664696522,4.784791017,5.156465699,4.667429612,4.656031844,5.073746962,
Argentina,ARG,,,,,,8.310988609,8.024993358,8.172195199,8.304444224,9.105433393,8.950269102,9.408642015,8.315845325,8.307577416,8.323067508,8.45393086,8.453822651,8.437183523,8.444362789,9.525409459,
Armenia,ARM,,,,,,6.47465581,5.913465393,5.85738036,5.956801343,6.33577136,6.539108359,6.83625056,5.689225612,5.672028747,5.799249978,4.86039757,4.176834604,3.882306399,3.768131885,4.651209354,
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,,,,,,7.219209624,7.408361049,7.463897727,7.632950321,7.755017195,8.032428208,8.117185895,8.35433344,8.285944954,8.541120237,8.430079813,8.457741039,8.506606809,8.506606809,8.506606809,
