Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,AFG,0,,,,,,,,,,,0.003745679,0.003640928,0.070782132,0.086003317,1.003177994,1.739743401,1.581161001,1.53762619,2.990580086,
Albania,ALB,0,,,,,0.011142586,0.032127513,0.048513827,0.064955374,0.081361007,0.113937632,0.324951956,0.388377417,0.965654564,2.400106757,5.983830925,9.503875522,14.8596145,23.57454917,40.71759435,
Algeria,DZA,0,,,,0.000360346,0.00176731,0.001736904,0.010258894,0.020219929,0.199342105,0.491258433,0.645531659,1.590237317,2.193431725,4.630194399,5.83791592,7.367044169,9.437689205,10.16613557,13.44771791,
American Samoa,ASM,0,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,0,,,,,,1.533107456,3.081426701,7.004327118,7.814331484,10.8302132,,11.58698203,13.91770425,27.52483664,38.5168447,50.07887423,72.47942008,71.59984015,,
Angola,AGO,0,,,,,,0.000803037,0.005862931,0.019028388,0.074010617,0.107709308,0.139002369,0.27534382,0.37613628,0.469999611,1.152281873,1.916478458,2.841595272,3.049124613,3.273490895,
Antigua and Barbuda,ATG,0,,,,,2.185251012,2.838892832,3.456762811,4.043671654,5.264196881,6.438652519,8.842291417,12.42500652,17.13250771,24.14350902,34.55836789,62.38817214,69.82030386,74.81668982,74.03020432,
Argentina,ARG,0,,0.002981513,0.029427314,0.043578869,0.08607047,0.141694788,0.279994957,0.830228234,3.28397977,7.04021144,9.784967695,10.88765165,11.92066019,16.04976039,17.74368586,20.97090625,26.02730345,28.23202868,30.56226938,
Armenia,ARM,0,,,,0.009117045,0.052743058,0.094572038,0.111648584,0.128654553,0.970677766,1.300348689,1.630890368,1.960100841,4.574335235,4.897780065,5.251220338,5.629276276,6.017862969,6.203137488,6.748830381,
Aruba,ABW,0,,,,,,2.768782578,,,4.522738066,15.50885666,25.984431,25.37105163,24.77419355,24.23116532,23.76331736,23.36653328,23.02710482,22.7432102,22.51153716,
Australia,AUS,0.585991292,1.099282573,1.771934839,1.981094696,2.240268832,2.766710934,3.276718912,16.37414268,30.84518732,40.82691007,46.7999008,52.67278628,57.58848733,59.49573771,61.43015988,63.24651382,64.93412375,67.86095622,70.56306254,71.77913783,
Austria,AUT,0.12968685,0.256446455,0.642465505,0.756740095,1.387356841,1.886064835,6.905239771,9.534424038,15.40878183,22.99371697,33.70129948,39.16441472,36.56423662,41.11113849,51.94814489,57.95280143,63.52057079,69.42190308,72.87327487,73.4419251,
Azerbaijan,AZE,0,,,,0.00144794,0.002081978,0.006440809,0.025516713,0.037912296,0.100212953,0.14909546,0.308217937,5.042895266,,,8.088800443,12.06810025,18.10529873,27.89499509,41.23044768,
"Bahamas, The",BHS,0,,,,,0.965064659,1.762567991,1.381185654,2.377387971,3.84607535,4.411206413,5.610962647,19.62060294,27.07921638,29.54829239,32.25220599,33.94370283,27.36718553,31.91862399,34.21257958,
Bahrain,BHR,0,,,,,0.357737596,0.869695294,1.686380454,3.27205323,4.786482972,6.267696449,15.56396009,19.12470603,23.1780507,22.73445874,21.38500318,25.88087403,27.00562689,38.28436874,55.51575013,
Bangladesh,BGD,0,,,,,,,0.000817191,0.004006303,0.03930359,0.077165093,0.140968272,0.151936715,0.17800272,0.216398067,0.263180503,0.316114459,0.347326408,0.382187584,0.419845876,
Barbados,BRB,0,,,,,0.007592553,0.378448136,0.754466441,1.880116266,2.249229639,3.738164038,11.18601599,26.04040727,37.12104058,46.67582896,52.49479673,,,,,
Belarus,BLR,0,,,,0.000488902,0.002942908,0.029527559,0.049421765,0.074486046,0.498256104,1.869425287,4.315464167,8.979617128,16.27560412,25.05064535,26.59685607,27.74210121,28.9605236,32.35680067,46.66898075,
Belgium,BEL,0.001003271,0.019991004,0.099552016,0.198324161,0.692000475,0.986504617,2.95362804,4.911108928,7.840831128,13.69059261,29.26258291,31.10722271,46.03929159,49.66222966,53.55192049,59.44817909,63.71474934,68.65118533,70.4543793,75.14703154,
Belize,BLZ,0,,,,,0.046189376,0.900900901,1.304347826,2.096436059,4.113533525,6.004803843,,5.656108597,,5.661712668,8.910212474,9.954012462,10.27287319,10.55572803,10.80432173,
Benin,BEN,0,,,,,,0.001717627,0.025049711,0.048743174,0.157990962,0.230138651,0.371949807,0.720670339,0.976974661,1.216547479,1.309970962,1.587965609,1.848981821,1.914796349,2.325102586,
Bermuda,BMU,0,,,,,6.80713128,16.18490669,24.243584,32.27980659,40.29362135,43.45656757,48.03073967,52.58964143,57.10659898,61.59191409,66.06890042,70.53291536,75,79.43925234,83.85093168,
Bhutan,BTN,0,,,,,,,,,0.135043403,0.393864812,0.850267834,1.650099666,2.402186951,3.113325031,3.791940761,4.446545849,5.809047883,6.416078407,7.006088291,
Bolivia,BOL,0,,,,,0.066926117,0.196396208,0.448468819,0.627255218,0.982945647,1.4445217,2.123465604,3.122593362,3.516369437,4.452896537,5.247820105,6.232096155,10.56691834,10.91650165,11.2805715,
Bosnia and Herzegovina,BIH,0,,,,,,0.015125518,0.059424486,0.143666395,0.194366806,1.082925567,1.200521827,2.648387145,3.965403703,15.47063251,21.32824085,25.12172135,27.9171873,34.64568577,37.72981963,
Botswana,BWA,0,0,,,,0.063066137,0.15396895,0.301107232,0.589766258,1.09942315,2.844262412,3.36238245,3.318395025,3.278461003,3.239315792,3.198851825,4.20852173,5.187959783,6.138666334,6.0557859,
Brazil,BRA,0,0.003286298,0.012938108,0.025480008,0.037641495,0.10503672,0.450279077,0.785046163,1.475712316,2.03563796,2.866555199,4.522913603,9.140960823,13.20062667,19.07265128,21.03265689,28.20839788,30.93656326,37.60388366,39.29882547,
Brunei Darussalam,BRN,0,,,,,1.035861526,3.364873413,4.922454927,6.405821611,7.820956409,9.173302022,13.17160563,15.62890642,19.97356432,30.28546706,37.16454204,42.99802602,46.15867533,69.3874368,81.38128865,
Bulgaria,BGR,0,,,0.002360718,0.019561352,0.119047619,0.718046912,1.203070042,1.816640426,2.858187135,5.334987593,7.648546144,9.102452662,12.07071456,15.89019942,19.96399178,27.05822299,33.55777019,39.50933934,44.75867325,
