Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,,,,,,,,,,,,99.18760634,,,,,,,97.30620201,,
Algeria,DZA,,,,,,,,,,,,,79.56909361,,,,81.2840426,,,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,,,,82.90217728,,,,,,,,82.88152,
Antigua and Barbuda,ATG,,,,,,,,,,,,98.4,,,,,,,98.4,,
Argentina,ARG,,96.22127101,,,,,,,,,,97.19320363,,,,,,,,97.70626,
Armenia,ARM,,,,,,,,,,,,99.67222968,,,,,,,,99.70065,
Aruba,ABW,,,,,,,,,,,97.53740073,,,,,,,,,98.21084,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,,,,,,,,,,99.47241834,,,,,,,,99.79983737,,,
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,,88.53737339,,,,,,,,,,88.5541075,,,,,,,,92.15742,
Bangladesh,BGD,,44.31428284,,,,,,,,,,53.89609203,,,,,,,,60.69884,
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,,,,,,,,,,99.79211464,,,,,,,,,,99.79086,
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,,70.26876738,,,,,,,,,,,,,,,,,,,
Benin,BEN,,,39.90334118,,,,,,,,,,47.86595534,,,,,,,54.17977,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,,,,,,,,,,,,,,,,65.04777664,,,,,
Bolivia,BOL,,,88.15558743,,,,,,,,,93.05747264,,,,,,96.03625678,94.95543248,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,99.03370787,,,,,,,,,99.39997,
Botswana,BWA,,65.38693796,,,,,,,,,,,,80.43010798,,,,,,83.77652,
Brazil,BRA,,,,,,,,,,,86.22798457,,,,88.40946161,,89.35324068,89.77214055,89.83787423,,
Brunei Darussalam,BRN,,92.45218916,,,,,,,,,,95.15042427,,,,,,,,96.82095,
Bulgaria,BGR,,,,,,,,,,,,98.73660465,,,,,,,,98.67793,
Burkina Faso,BFA,,19.62613369,,,,,18.51778959,,,,,,,29.36200395,,31.44192594,,36.68066684,,,
Burundi,BDI,48.23624585,,,,,,,,,,67.30693069,,,,,,,,,72.61294,
Cambodia,KHM,,,,,,,,,79.48217913,,,,,,84.68001439,,,,85.08267225,,
Cameroon,CMR,,,,,,,,,,,79.19452404,,,,,,,78.94996219,,,
Canada,CAN,,,,,,,,,,,,,,,,,,,,,
Cape Verde,CPV,74.75926604,,,,,,,,,,,,,,87.5,,,,,90.06277,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,98.72239373,,,
Central African Republic,CAF,,,,,,,,,,,64.76669973,,,,,,,,,69.07818,
Chad,TCD,,,,18.2606,,,,,,,40.82705757,,,,39.36824832,,,,,44.4606,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,,94.56307297,,,,,,,,,,95.79640731,,,,,,98.60163568,,
China,CHN,87.0249797,,,,,,,,,,95.13525202,,,,,,,,,96.88506,
Colombia,COL,,,,81.49750783,,,91.08910304,,,,,,,,92.90411531,92.77794914,92.39280499,92.42970121,93.31687849,93.06253961,
Comoros,COM,,,,,,,,,,,74.51403888,,,,,,,,,79.69407,
"Congo, Dem. Rep.",ZAR,,,,,,,,,,,,80.91204445,,,,,,,,79.53279,
"Congo, Rep.",COG,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,,,,,,,,,,,94.65018037,,,,,,,,,95.85362,
Cote d'Ivoire,CIV,,,,,,,,,43.9464205,,60.83552064,,,,,,,,,64.67405,
Croatia,HRV,,98.75705978,,,,,,,,,,99.32059174,99.32059174,99.32059174,99.32059174,,,,,99.47995,
