Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,,,,,,,,,,,,98.71297808,,,,,,,95.93863978,,
Algeria,DZA,,,,,,,,,,,,,69.87350044,,,,72.64867917,,,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,,,,67.40754775,,,,,,,,69.95843,
Antigua and Barbuda,ATG,,,,,,,,,,,,98.95,,,,,,,98.95,,
Argentina,ARG,,96.12819586,,,,,,,,,,97.19331158,,,,,,,,97.72598,
Armenia,ARM,,,,,,,,,,,,99.40015652,,,,,,,,99.53128,
Aruba,ABW,,,,,,,,,,,97.29125212,,,,,,,,,98.15226,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,,,,,,,,,,98.7918027,,,,,,,,99.50075415,,,
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,,84.01382963,,,,,,,,,,86.54874423,,,,,,,,91.3546,
Bangladesh,BGD,,35.31929562,,,,,,,,,,47.4855001,,,,,,,,55.90261,
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,,,,,,,,,,99.59073243,,,,,,,,,,99.73212,
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,,70.29842264,,,,,,,,,,,,,,,,,,,
Benin,BEN,,,27.24525033,,,,,,,,,,34.65784677,,,,,,,41.65134,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,,,,,,,,,,,,,,,,52.81469107,,,,,
Bolivia,BOL,,,79.99177478,,,,,,,,,86.72366662,,,,,,90.74346987,90.69810562,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,96.66309845,,,,,,,,,97.80925,
Botswana,BWA,,68.58090873,,,,,,,,,,,,81.18870975,,,,,,84.07785,
