Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,AFG,6.398342108,25.80379762,9.933211278,10.644243,10.41563805,9.456005814,7.322110459,9.650475349,6.293739495,5.650944944,5.239527058,15.15651496,46.88532214,56.29656832,79.22969552,94.22817457,96.11773363,125.3734181,149.6134885,186.471042,
Albania,ALB,3.359190487,100.8447016,123.4594732,91.57490416,51.29830958,57.37158488,72.75917827,53.62395057,87.1863508,158.6962712,103.3381773,87.1261184,99.36312577,113.8603297,95.79306088,101.2827042,101.5172304,96.56856482,113.6230404,112.1111979,
Algeria,DZA,5.203725559,8.143672948,10.25906763,8.261715178,10.58156787,10.38824575,10.59650316,8.47418881,14.14485167,4.57922038,6.536684707,6.406901715,6.039721329,7.444820621,9.723716918,10.53014084,6.251206503,11.50867213,9.27761532,9.136722891,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,25.71540037,26.00831744,31.22719353,25.44815002,38.07132103,34.40036249,36.88429641,27.72384533,25.51859016,28.68207444,21.70055333,19.65006988,27.80502488,32.0189251,71.71692738,25.14097107,9.612374008,14.13436877,20.44687527,12.90695315,
Antigua and Barbuda,ATG,74.11337256,115.2117793,73.19519764,45.98546859,60.24366545,33.07013199,54.9325763,59.45632035,133.1715865,141.3436863,126.0688163,107.8759553,167.3146434,75.38303392,19.67695985,92.83092616,38.61003861,85.87886193,100.7124688,67.65221749,
Argentina,ARG,5.169343642,8.269882203,7.867615356,6.657635424,4.24806812,4.09006873,3.706168878,2.856228554,2.187928138,2.095179093,1.41914416,3.897902199,2.162659391,2.804118212,2.381537485,2.482861559,2.948965825,2.574167601,3.285970206,3.188520328,
Armenia,ARM,,0.774476225,6.510258149,32.55129328,58.12723747,67.50801152,92.1005553,52.99479781,62.46178558,67.68212503,70.18306959,69.02906573,97.87110181,82.92616304,82.74309642,55.5585635,70.20226435,113.870979,98.28562817,171.0222339,
Aruba,ABW,482.4046213,386.2813651,439.0358199,342.5516377,237.8781168,321.2031423,235.1057555,294.3835793,129.6831631,-83.44451731,,,,,,,,,,,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,,0.041259799,5.012191818,11.07271514,19.47347637,15.4352635,12.38052299,23.48685889,15.19524833,21.22259802,17.28513372,28.29563946,42.74529836,36.51792112,21.15838441,25.80003217,24.24878161,26.24893664,26.82634594,25.96581034,
"Bahamas, The",BHS,12.29853823,10.58099638,10.15950422,3.804936073,2.577824897,15.22657574,,,,,,,,,,,,,,,
Bahrain,BHR,277.7490358,87.03632434,127.3244358,182.1317074,81.76715341,87.73514539,141.7081511,155.214457,77.04049329,6.35006741,76.88896619,27.75054085,94.27321009,120.6031238,85.49184232,,,,,,
Bangladesh,BGD,19.8825671,17.43353261,16.49372507,12.15184349,15.14483676,10.9079347,10.23991909,8.258778064,9.311769201,9.584573548,9.041665485,7.910290581,6.748522423,10.19779779,10.19797531,9.372426744,8.56902002,10.52114209,14.16981089,8.344819357,
Barbados,BRB,10.1348357,8.142853302,0.114882667,13.74649178,-3.921762737,-4.40368087,16.00835613,16.29647513,58.88524146,-7.984765218,0.897159369,-4.287972796,12.31339258,73.79662867,106.7246534,-6.691238175,-7.673521187,64.46553616,26.15915938,44.76626948,
Belarus,BLR,,,,,,,,,,,,,,,,5.913708652,7.862316979,8.63327149,11.47469277,10.31345324,
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,160.4232804,112.2164948,128.4422111,148.8292683,138.2464455,84.20323326,92.92792793,61.13043478,63.68972746,189.4693542,58.68694956,86.16401088,84.38914027,43.03982463,26.82236377,41.70664839,28.63437585,69.88764045,74.0763738,83.61344538,
Benin,BEN,55.9129143,53.8418837,52.66686699,54.29668909,46.75129819,49.55813348,49.43159421,36.84979509,33.33220682,33.31713399,37.35150304,41.32362356,31.56536084,41.83265931,53.21313844,45.43896275,48.02770225,58.46850315,76.75700516,79.39179037,
Bermuda,BMU,697.3553719,-77.37704918,-81.96721311,-79.01639344,-203.588907,-33.71150729,-65.87257025,,,,,,,,,,,,,,
Bhutan,BTN,82.36347359,110.4999217,99.1295053,118.2816846,139.659201,137.3355136,110.3108568,124.152345,103.1994035,120.3146691,92.93459043,102.8483972,121.4143334,123.8567592,121.3729763,136.5857062,150.5007552,130.4566928,123.3740588,175.7407187,
Bolivia,BOL,81.91681502,73.8042635,95.62861118,78.30961401,76.84314432,95.23051028,108.3452415,89.40674366,79.41678312,71.08540053,57.98671233,87.73687996,79.72212157,106.4450401,87.4370764,70.30548326,91.32922015,50.37778318,65.27756089,74.26555294,
Bosnia and Herzegovina,BIH,,,2.462244733,11.19547373,113.9793046,277.4588262,253.0741102,255.9561162,260.0936418,288.86517,199.488426,170.4527568,146.4902382,142.8311978,180.8424381,140.8806821,129.6518817,119.7501795,122.7053196,110.1870831,
Botswana,BWA,105.0513936,92.07134177,75.94933253,85.58222673,55.08227422,56.46941891,45.85195331,73.16905726,62.66266491,35.23361874,17.41826301,16.34678268,20.5685185,15.21752316,27.09147774,25.58015176,36.19854753,55.85876298,368.4529845,141.0998115,
Brazil,BRA,1.009420595,1.061868588,-1.667657478,1.272917483,1.576802219,1.676324258,1.643396934,1.55720798,1.66590212,0.715962951,1.326469753,1.241144029,1.158630686,1.091651403,0.839599525,1.306919554,0.603485208,1.692324901,2.403426021,1.751440814,
Brunei Darussalam,BRN,15.38919187,13.95759513,20.12788893,18.4786293,18.65248227,14.81281982,,,,,,,,,,,,,,,
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,35.02039254,43.80464163,43.99015087,46.04672923,41.59205463,45.82432438,38.09438901,32.57766505,34.41309081,33.31659652,14.61849883,32.06473761,33.78757606,39.39204212,46.57377052,48.8264117,59.77964194,63.15131663,64.51777985,67.80765266,
Burundi,BDI,46.86953293,44.79361569,53.00363954,36.3491235,51.70407738,47.14337748,17.99924368,9.099743379,10.89898554,11.91025233,14.6085552,21.40421958,25.83956812,33.30426375,51.71365036,50.191521,57.63568079,61.66885126,66.19721945,68.86429116,
Cambodia,KHM,4.333855648,9.090793016,19.64773797,28.5134439,28.84809515,49.33194607,36.35004466,28.58449021,28.15254434,22.67756966,31.79253004,33.26145967,37.77591388,39.79523917,36.78501096,40.09560419,39.16428996,49.34360323,53.73863351,51.67370241,
Cameroon,CMR,36.48194756,41.20223108,55.48454625,41.07709752,53.7230442,31.76393799,28.71046144,34.0857802,33.20668794,28.3404173,24.02880063,28.53912131,39.84316268,53.74130553,46.05812423,23.51427962,94.93885108,104.9404736,29.25670318,33.86644338,
Canada,CAN,,,,,,,,,,,,,,,,,,,,,
Cape Verde,CPV,302.3853633,286.7947871,319.3621531,306.7072195,310.7496475,293.0274012,288.1489289,268.4230539,307.6663746,315.9258103,214.3226344,173.4457286,202.1469276,320.0219116,306.3515459,343.0446855,289.5035618,341.9505903,455.0537476,398.5590526,
Cayman Islands,CYM,114.7880835,-10.59825312,0,-15.29560418,-39.4439673,-17.38228836,-59.53777569,,,,,,,,,,,,,,
Central African Republic,CAF,84.80712504,57.67209437,57.58587313,54.24734883,51.59731187,50.41905695,49.50313391,26.13642202,33.69756861,32.51119749,20.33711304,20.27837034,15.73158942,13.16684126,27.76877454,22.03151911,32.67495757,42.49280211,60.67776461,56.09143592,
Chad,TCD,51.66668219,42.32331456,37.05468627,33.94612156,31.2842533,33.58336282,40.97058892,30.5601668,21.78199899,23.62783759,15.82885234,21.4629258,25.9568378,27.56750598,35.54273276,38.83341566,28.56679043,34.47604615,39.30067144,51.31438539,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,7.8511833,8.999714431,9.598363782,12.46501103,10.58773648,10.86442365,13.3526816,8.687309291,7.070207768,4.589156578,3.169946212,4.823701311,-0.465028141,5.369117256,3.370276197,10.26517069,6.156535829,6.306643306,6.421327309,4.698114862,
China,CHN,1.788580716,1.6793653,2.569705658,2.714172974,2.633116161,2.880504293,2.16832163,1.664028616,1.963508557,1.899244453,1.355685882,1.217934505,1.168994064,1.054447377,1.323735123,1.39157948,0.951831398,1.128201626,1.074838354,0.849982725,
Colombia,COL,2.666600729,3.349781304,6.714724701,2.374081765,2.077492394,4.634143645,5.034944851,5.138046924,4.346615929,7.713287382,4.676069404,9.508542957,10.67234404,19.17884715,12.14442263,14.41709933,23.00502511,16.29722833,21.59744719,23.22269633,
Comoros,COM,102.3577451,141.1132116,104.1750541,103.2787059,80.2237143,84.12776095,76.34174914,52.40785849,65.68569041,39.15205233,33.26405544,47.71724244,46.47908694,40.17916494,41.84534956,35.4135626,46.36981708,65.56125682,53.44072169,70.79050091,
"Congo, Dem. Rep.",ZAR,24.60540678,12.55487475,6.80765724,4.32844015,5.739943311,4.419369806,3.667289038,3.399013594,2.64831101,2.733436578,3.56908246,4.810997669,22.38369693,100.1307898,34.41510103,32.76615981,37.18275401,22.31909587,28.30768791,36.65735556,
"Congo, Rep.",COG,90.90368713,54.30862556,44.79413506,47.27482063,136.0876557,45.69097444,152.7658269,92.91067893,21.8307493,45.93450953,10.21757634,22.96060473,17.53157493,20.54873289,33.51360293,403.4555869,71.17973213,31.81247474,126.4564993,71.79076554,
Costa Rica,CRI,73.92907395,55.3018935,43.49971115,29.96598668,22.08599326,8.553099266,-3.606875835,-2.179119214,4.568812627,-2.573401985,2.454595094,0.092431924,-0.083268086,6.977630721,3.014917586,5.991535274,7.236718989,13.05976183,14.6214478,23.81071667,
Cote d'Ivoire,CIV,54.83422314,48.65640652,56.47222769,55.21109672,111.7654949,82.56615703,63.89500482,28.80947206,60.90478636,27.54189849,21.14023252,11.00523866,62.14666279,14.53238151,9.052642027,5.061332518,13.48577339,9.171569486,32.98729494,122.4298097,
Croatia,HRV,,,0.002237136,,23.5827957,11.41143714,29.66399644,8.827646544,8.749166852,10.64339043,14.80117488,27.88513514,32.14414414,27.18468468,26.95652174,27.79378658,45.90540541,36.7245266,54.48353631,38.24498011,
Cuba,CUB,4.806851784,3.466264369,2.274615441,4.031254361,4.30684739,5.800494368,5.189417388,5.943256592,7.259258977,5.284421878,3.961523779,4.820394091,5.698212705,6.693415943,9.215867955,7.853038881,8.318594629,8.235209657,11.31455355,10.33861724,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,49.73502047,50.76680086,32.68361585,41.27699797,52.59165915,25.05190408,25.85662968,,,,,,,,,,,,,,
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,344.4485941,184.237356,188.7332047,221.4291158,209.6640841,167.1569277,150.3489884,128.3805604,117.542892,105.4705561,97.49566215,75.18636507,96.82692546,101.5596942,80.76972502,91.55494967,139.5562851,133.9324536,141.2750282,185.955578,
Dominica,DMA,276.908327,248.8636684,178.9690257,125.1738526,240.2242467,350.3166863,605.8945831,205.51619,273.50573,140.5654043,218.0215869,283.5255663,427.1222637,161.416185,426.1293731,306.4200218,283.9883552,283.6309437,325.8557197,533.4059657,
Dominican Republic,DOM,14.12991235,9.226376756,8.760798539,-0.243740201,7.880454774,15.07773383,12.35417333,8.669673358,14.20234772,22.42094147,6.517715908,12.24580164,16.35977049,7.655025381,9.258523992,8.703332924,5.724448663,12.91655415,16.13769676,12.23148007,
Ecuador,ECU,15.52737675,22.63020396,22.35652381,21.28970376,18.7458938,19.57572863,21.59775568,12.91149443,14.7454937,12.20181973,11.83796903,14.62471905,17.22901621,13.46859468,11.6050814,16.81835536,13.76642374,15.68912471,16.40565309,14.62812709,
"Egypt, Arab Rep.",EGY,95.43890636,86.43026363,60.88599672,39.69665459,43.87151734,32.3935962,34.68762239,30.90767498,29.90160605,23.77321827,19.61553603,18.32335695,17.53838909,13.73414715,20.67774098,13.39065969,11.55468936,14.38962022,17.16398612,11.60504346,
El Salvador,SLV,65.12474962,54.48094303,73.42380789,71.53593084,53.87176852,51.62032099,51.93387509,47.70253239,30.78207114,30.97396184,30.2442383,39.81208935,38.95806993,31.97957302,35.8944213,33.79217597,26.82037183,14.4356508,38.06919441,44.91412359,
Equatorial Guinea,GNQ,161.0914528,160.864706,154.6106847,127.281077,69.46180535,75.4756207,67.39248799,51.45125993,45.20130563,39.96023817,40.87397671,24.64654362,36.34369775,36.59097306,49.42403619,62.74074891,41.8839299,48.70049197,48.43528952,46.32110583,
Eritrea,ERI,,,,20.99328385,48.31668426,46.14470399,48.26516327,36.97577056,48.80312601,42.00136445,47.92811383,73.5952753,56.81719529,76.36473284,61.33139494,77.84171523,27.07585307,32.97863672,29.026658,28.39742189,
Estonia,EST,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,20.87899676,21.83790446,22.47252132,20.21729532,19.22394606,15.36546708,13.88326049,9.561729037,10.61759231,10.06876502,10.46175665,16.2803753,19.17782691,22.9755273,25.2072963,25.95434676,26.06081478,33.16832058,41.88672116,47.05106316,
Faeroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,68.06793064,60.94426205,85.19658891,81.08813334,53.03470567,57.2422391,59.62689544,56.02869516,45.98562481,43.21332661,35.87452785,31.82454159,42.1640109,62.54442771,80.03887184,80.40819254,67.20641124,60.8308481,53.63592291,83.44254467,
Finland,FIN,,,,,,,,,,,,,,,,,,,,,
France,FRA,,,,,,,,,,,,,,,,,,,,,
French Polynesia,PYF,1328.979492,1561.534914,1605.997612,1607.227197,1738.844803,2089.593045,1835.246989,1635.264636,1616.12944,1505.147046,,,,,,,,,,,
Gabon,GAB,141.2527286,148.7134117,68.91027743,98.6682377,171.2880563,132.0118051,112.9568106,33.81178946,37.82888035,39.44941509,9.439201343,6.752878682,55.52748789,-8.02286783,29.66140469,44.08603013,20.79170221,35.9501755,42.78395653,52.49358043,
