Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,AFG,"13,032.2","14,069.9","15,472.1","17,053.2","18,553.8","19,789.9","20,685.0","21,299.4","21,752.3","22,227.5","22,856.3","23,677.4","24,639.8","25,678.6","26,693.5","27,614.7","28,421.0","29,145.8","29,840.0","30,577.8","31,411.7"
Albania,ALB,"3,289.5","3,291.7","3,267.0","3,224.9","3,179.4","3,141.1","3,112.6","3,091.9","3,079.0","3,072.7","3,071.9","3,077.4","3,089.8","3,106.7","3,124.9","3,141.8","3,156.6","3,169.7","3,181.4","3,192.7","3,204.3"
Algeria,DZA,"25,299.2","25,930.6","26,558.0","27,169.9","27,751.1","28,291.6","28,786.9","29,242.9","29,673.7","30,099.0","30,533.8","30,982.2","31,441.8","31,913.5","32,396.0","32,888.4","33,392.0","33,906.6","34,428.0","34,950.2","35,468.2"
American Samoa,ASM,47.1,48.4,49.6,50.8,51.9,52.9,53.9,54.8,55.7,56.7,57.6,58.6,59.7,60.8,61.9,63.0,64.0,65.1,66.2,67.3,68.4
Andorra,ADO,52.8,55.0,57.8,60.7,63.1,64.7,65.2,64.9,64.2,64.0,64.6,66.4,69.0,72.2,75.3,77.9,79.9,81.4,82.6,83.7,84.9
Angola,AGO,"10,335.1","10,653.5","11,002.9","11,371.8","11,743.0","12,105.1","12,452.7","12,792.2","13,138.3","13,511.6","13,926.4","14,388.2","14,890.5","15,419.9","15,957.5","16,489.0","17,010.4","17,525.4","18,038.0","18,555.1","19,081.9"
Anguilla,660,8.3,8.7,9.0,9.3,9.5,9.8,10.0,10.2,10.5,10.7,11.1,11.5,12.0,12.5,13.1,13.6,14.0,14.4,14.7,15.1,15.4
Antigua and Barbuda,ATG,62.2,62.8,63.8,65.2,66.9,68.6,70.5,72.3,74.2,76.0,77.7,79.2,80.5,81.7,82.8,83.9,85.0,85.9,86.9,87.8,88.7
Argentina,ARG,"32,642.4","33,093.6","33,540.0","33,982.0","34,420.4","34,855.2","35,287.1","35,714.9","36,134.6","36,541.0","36,930.7","37,302.1","37,657.3","38,001.3","38,340.8","38,681.2","39,023.9","39,368.1","39,714.3","40,062.5","40,412.4"
Armenia,ARM,"3,544.7","3,512.1","3,449.9","3,370.4","3,290.5","3,223.2","3,172.2","3,134.8","3,109.1","3,090.6","3,076.1","3,065.8","3,061.1","3,060.6","3,062.6","3,066.0","3,069.8","3,074.2","3,079.1","3,085.0","3,092.1"
Aruba,ABW,62.1,64.6,68.3,72.6,76.8,80.3,83.1,85.2,86.8,88.4,90.3,92.4,94.6,96.9,99.0,101.0,102.7,104.2,105.5,106.6,107.5
