Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,AFG,,,,14.49471,,,,,,,,,,,,21.38764,,,,,
Albania,ALB,,,,,,,93.6614,,,104.64512,102.83797,102.09346,97.64619,97.33225,94.70839,,,,,88.81016,
Algeria,DZA,72.43653,73.1789,75.99991,75.26324,74.5263,76.47871,80.10631,81.97583,,83.31301,82.4344,89.21368,91.34308,92.50523,94.65814,95.58981,,96.06452,107.98995,91.4508,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,,,,,,,,,,,,,95.9375,102.1148,104.04624,,,,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,100.61881,93.34975,
Argentina,ARG,,,,,,,97.41953,96.97228,104.7456,102.32869,101.973,101.40398,106.23349,104.34497,102.77623,100.38906,102.23462,104.46828,107.6863,,
Armenia,ARM,,,,,,,,,,,,,94.53662,91.35054,101.82267,95.14115,94.98398,99.87141,,,
Aruba,ABW,,,,,,,,,,104.6252,100.3125,104.72561,104.86009,92.63456,92.90587,92.84768,95.19481,98.58065,97.02073,92.65092,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,,,,,,,,,97.69986,97.94308,,,101.29328,103.55321,101.50207,100.73357,101.12819,102.4663,98.41637,97.24771,
Azerbaijan,AZE,,,,94.02316,88.58746,,85.46427,97.71071,95.39902,91.77046,85.49743,93.9815,100.99123,90.24809,94.8575,89.6128,90.66259,98.13817,89.7156,91.42844,
"Bahamas, The",BHS,,,,,,,,,,82.47459,,,,93.92396,101.29827,102.09836,93.81913,96.18893,96.38515,,
Bahrain,BHR,,98.17479,93.50676,92.56935,93.05775,96.5263,95.50669,,96.38077,100.01875,100.75982,101.81159,104.58202,101.92469,104.82968,102.9674,,,97.59213,98.60191,
Bangladesh,BGD,,,,,,,,,,,61.42935,,,,,63.34744,59.55217,,57.12717,63.20489,
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,,,,95.31038,95.73671,92.61865,93.0599,93.46965,,99.0135,101.36863,103.24435,126.65425,98.10818,95.86486,92.41918,92.71814,91.63019,,,
Belgium,BEL,,81.7838,,,,,,,,,,,,,,,87.62956,87.89403,87.97939,88.73031,
Belize,BLZ,,,95.38767,,,88.96357,92.22336,,,90.8711,91.27686,97.94967,96.03779,97.48879,96.71169,97.94798,97.65714,104.93337,100.45185,107.91995,
Benin,BEN,11.95456,14.2682,14.15405,15.53777,17.05029,20.41725,21.2832,23.10306,25.14245,,27.25532,30.36926,31.99549,36.59055,41.99092,,,,55.02303,53.16351,
Bermuda,BMU,,,,,,,,,,,,94.51074,102.8777,100.48544,,,,,,,
