Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,AFG,,,,28.49606,,,,,,,,,,,,38.82625,,,,,
Albania,ALB,,,,,,,93.43178,,,104.07734,101.69497,101.12788,98.1445,96.98364,94.5393,,,,,89.62547,
Algeria,DZA,80.78735,79.51017,82.2401,81.20619,79.70815,80.6904,83.62739,84.01607,,84.57723,82.6314,89.43986,91.4818,92.90653,94.3403,95.83484,,95.13847,113.855,90.50308,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,,,,,,,,,,,,,100.2994,103.0303,101.24138,,,,,,
Angola,AGO,,33.00903,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,102.57376,94.53755,
Argentina,ARG,,,,,100.21659,,95.66794,94.7722,102.79847,100.7241,100.20397,99.62725,103.62759,101.7269,100.50083,98.27388,100.08025,102.44285,105.40755,,
Armenia,ARM,,,,,105.49139,,,96.17703,,,,,93.73525,89.98377,101.4093,93.43613,92.95038,97.92742,,,
Aruba,ABW,,,,,,,,,,103.29154,99.61449,98.03774,99.2674,94.68839,95.20876,92.54328,96.40992,96.63866,94.6417,94.80519,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,,,,,,,,,97.99956,97.82197,,,101.79067,104.07159,102.06882,100.66827,100.87685,102.20912,98.88993,97.05072,
Azerbaijan,AZE,,,,94.86178,90.35424,,81.31244,99.15087,95.71192,92.1731,89.51351,95.16858,97.58601,92.69615,95.59543,93.43062,91.20018,97.6303,90.73683,91.77172,
"Bahamas, The",BHS,,,,,90.82083,,,,,79.6616,,,,93.73852,100.90061,100.40323,94.67029,97.03573,94.71387,,
Bahrain,BHR,,97.28821,94.36806,93.98853,91.56719,93.6,92.60355,,92.63559,98.5408,98.30961,99.07706,103.8695,102.03321,102.70564,102.14731,,,97.83694,100.58123,
