Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,AFG,0.190289175,0.188115089,0.142605508,0.137928082,0.133404074,0.129028452,0.125371201,0.121817613,0.118364751,0.115009757,0.11174986,0.108624687,0.12033267,0.129885211,0.172006633,0.334392665,0.292667114,0.2569355,0.310981822,0.386765741,
Albania,ALB,1.215996556,1.260748642,1.372765025,1.333374265,1.305260483,1.341885746,2.051341693,2.80733348,3.756856446,4.568973794,4.970512941,6.417671147,7.120252652,8.208063795,8.786214811,8.879400344,8.109973779,9.464722613,10.8000039,11.36960519,
Algeria,DZA,3.209589939,3.405711253,3.623194982,3.931166041,4.044558833,4.157829088,4.440019585,4.788657028,4.97747264,5.315789456,5.768444945,6.067997594,6.201925536,6.727568447,7.676862314,7.820374868,8.508927031,9.04959078,8.914248588,7.370965999,
American Samoa,ASM,11.68919493,11.36316681,12.08507896,15.7477215,18.30972343,18.51886846,18.55253149,18.41922895,18.29760517,17.99989412,17.79088937,21.46743302,23.54449043,17.62760391,16.73481922,16.51789969,16.23858225,15.96806387,15.70593654,15.45043974,
Andorra,ADO,40.74432001,42.57764201,43.80009348,44.10746662,44.93986785,46.05171641,47.47113925,49.27201294,51.2810136,52.52324764,52.93653495,51.97318873,50.58007329,48.71127238,46.5388089,45.50636812,45.70573654,45.64811402,45.2607869,,
Angola,AGO,0.677306703,0.675833281,0.444427883,0.468705344,0.451504561,0.435683953,0.422598267,0.486849954,0.495499215,0.497351345,0.466022273,0.533769096,0.538599376,0.551513063,0.590820845,0.586814705,0.577089288,0.538042941,0.633641358,1.633937596,
Antigua and Barbuda,ATG,25.69049227,21.78347197,26.36280994,29.44602839,36.30166679,37.71743248,39.74449965,42.86385885,45.82827874,48.03579654,49.32007829,47.07130676,47.25800241,46.50252093,45.87266713,43.47204347,44.14257463,44.10310118,43.73798644,42.53889433,
Argentina,ARG,9.272382256,9.461759938,10.7171453,11.71923636,14.48819292,16.39400881,17.74766046,19.11469291,19.63618181,19.76728132,21.37572014,21.7988572,20.47029344,22.64101516,22.84921292,24.40896184,24.24105771,24.13123368,24.53230572,24.37218674,
Armenia,ARM,15.79825627,16.28962677,16.76550897,17.31143704,17.84245139,18.08156124,18.26816532,18.11259026,17.90228108,17.60799761,17.33972715,17.33492943,17.73388168,18.41754793,18.90454945,19.38724456,19.67200939,20.32085944,20.33070193,20.42153285,
Aruba,ABW,30.10925708,29.39265493,29.87435199,28.9363813,28.00865011,33.98777436,40.41941037,39.00846632,40.3837516,41.33443387,42.20624564,40.20224549,39.25324538,38.59612903,38.36904065,37.88169829,37.63082825,37.04389542,36.44694199,35.92466139,
Australia,AUS,45.63049147,46.55189192,47.19634181,48.33871059,49.56594791,49.24745463,50.07918737,50.49414052,50.98605099,51.56926979,52.47219757,51.82094473,52.9224381,52.57496708,51.5218061,49.6204915,48.02419569,46.316289,43.58443612,41.09021169,
Austria,AUT,41.80015983,42.88014244,44.54204352,45.15089776,46.56221804,47.74133048,48.98451544,49.79729313,50.21007932,49.22404953,49.89040519,49.69529067,48.03529521,47.75924512,46.74177646,45.41313932,43.52590498,41.04429604,39.40301257,38.88694633,
Azerbaijan,AZE,8.660427434,8.529088158,8.40287185,8.277384923,8.361682243,8.321821731,8.309519516,8.398775198,8.595981297,9.144431918,9.954606911,10.66187487,11.33152394,11.43261476,12.20023144,13.03884126,13.87199085,14.60501323,14.95538261,15.61737537,
"Bahamas, The",BHS,27.28010995,29.96453833,28.90040299,28.14175049,28.62329628,29.91950646,31.53692404,34.1640641,36.43481283,37.81923072,38.41646761,40.8818127,41.38508376,42.5066328,44.46096607,41.66922388,40.5979029,40.39822296,39.7876887,38.11465962,
Bahrain,BHR,19.07013924,19.85079487,21.65304332,23.35872959,24.91211727,25.19367019,25.11523463,25.68408023,25.7868879,26.38453009,26.7906417,27.05872282,27.32505802,28.7030799,28.51509468,26.69952139,23.9331534,21.98700921,20.94209295,20.38342034,
Bangladesh,BGD,0.207114033,0.205544745,0.211112568,0.21833725,0.227947371,0.243946238,0.26355747,0.300740204,0.330605706,0.340343938,0.379114419,0.428119126,0.451290028,0.5435661,0.599386579,0.761089562,0.796608437,0.824496626,0.924162573,1.03577399,
Barbados,BRB,27.79989287,29.95072037,30.67175725,31.50504993,32.5072248,34.21660036,36.53803215,40.91358341,42.50228434,43.11023474,46.29043292,48.08346259,49.47677382,49.74219437,50.28098108,49.8619239,49.5314725,49.43008195,55.11058858,49.75252062,
Belarus,BLR,15.44958288,16.41612713,17.0761159,17.72008009,18.48049281,19.30974102,20.9446063,22.85854502,24.72788758,26.29265571,27.50529735,28.70914083,29.89584887,31.10544708,32.32628506,33.59665757,34.6051888,37.84632035,38.72207873,41.75123593,
Belgium,BEL,39.25425888,40.94228597,42.45238427,43.58862611,44.91545731,46.18899455,45.52215221,46.83464296,47.59876507,48.97946411,49.12623878,49.88523379,47.72670086,46.98282106,46.06982904,45.75587599,44.82194563,43.92738361,41.61190696,39.41279821,
Belize,BLZ,9.164021164,10.96701031,12.48241206,13.96292683,13.36113744,13.3704388,13.33333333,13.33347826,13.62138365,14.85643768,14.31305044,13.69490867,11.80241327,12.15856777,11.93064402,11.5729952,11.38904926,10.88443018,9.662837628,9.354141657,
Benin,BEN,0.309607707,0.304231166,0.308515397,0.38576242,0.437494073,0.499120443,0.561303404,0.60875808,0.623165226,0.689725342,0.792352032,0.882235186,0.903273789,0.928279453,0.983903049,0.999075553,0.982531489,1.365349809,1.234804296,1.478172344,
Bermuda,BMU,61.68429752,63.91639344,65.22295082,68.96393443,72.12887439,75.20583468,78.53564124,83.80683739,86.71970039,88.53798007,90.24963384,89.89913545,89.24302789,85.65989848,85.04421984,82.54050653,90.36677116,90,89.71962617,89.59627329,
Bhutan,BTN,0.335004476,0.449844983,0.541588268,0.713436163,0.873490926,1.011022322,1.166889837,1.217291215,1.930964816,2.158893868,2.476096782,2.984950259,3.236670495,3.788569113,4.714352428,5.005361804,4.672726815,4.336018566,3.917372316,3.691928286,
Bolivia,BOL,2.743666631,2.994775041,2.982922121,3.246460874,3.324416126,3.304557334,4.564182412,4.927134708,5.675166853,6.174962851,6.148305672,6.186256954,6.830823327,6.922268158,6.962415438,7.065872715,7.162107566,7.166462884,7.173701087,8.289618774,
Bosnia and Herzegovina,BIH,,,15.26184752,16.31596852,7.221192641,7.137935319,8.235844331,8.999511531,9.573411373,10.21594707,21.11704855,22.59718224,23.91059257,24.79749344,25.16360524,25.62435186,26.15303412,28.16730413,27.32671394,26.50552077,
Botswana,BWA,1.907375082,2.290509072,2.490026786,2.88751206,3.262192401,3.763345583,4.445945813,5.154474032,6.016559457,7.164709211,7.730705235,8.302562864,8.193946916,7.179774956,7.114293319,7.275415278,6.945849477,7.104703404,7.278514361,7.276783732,
