Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,,,10,,,,,5,,,,,5,,,,,5,,,,
Algeria,DZA,,,5,,,,,5,,,,,5,,,,,5,,,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,67,,,,,61,,,,,52,,,,,41,,,,
Antigua and Barbuda,ATG,,,12,,,,,29,,,,,35,,,,,22,,,,
Argentina,ARG,,,5,,,,,5,,,,,5,,,,,5,,,,
Armenia,ARM,,,45,,,,,36,,,,,28,,,,,22,,,,
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,,,5,,,,,5,,,,,5,,,,,5,,,,
Austria,AUT,,,5,,,,,5,,,,,5,,,,,5,,,,
Azerbaijan,AZE,,,27,,,,,27,,,,,11,,,,,5,,,,
"Bahamas, The",BHS,,,7,,,,,8,,,,,5,,,,,6,,,,
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,,,38,,,,,41,,,,,29,,,,,27,,,,
Barbados,BRB,,,5,,,,,5,,,,,5,,,,,5,,,,
Belarus,BLR,,,5,,,,,5,,,,,5,,,,,5,,,,
Belgium,BEL,,,5,,,,,5,,,,,5,,,,,5,,,,
Belize,BLZ,,,7,,,,,8,,,,,7,,,,,5,,,,
Benin,BEN,,,20,,,,,18,,,,,15,,,,,12,,,,
Bermuda,BMU,,,6,,,,,6,,,,,12,,,,,15,,,,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,,,29,,,,,24,,,,,22,,,,,27,,,,
Bosnia and Herzegovina,BIH,,,8,,,,,5,,,,,5,,,,,5,,,,
Botswana,BWA,,,19,,,,,23,,,,,27,,,,,25,,,,
Brazil,BRA,,,11,,,,,10,,,,,9,,,,,6,,,,
Brunei Darussalam,BRN,,,5,,,,,5,,,,,5,,,,,5,,,,
Bulgaria,BGR,,,5,,,,,10,,,,,10,,,,,10,,,,
Burkina Faso,BFA,,,14,,,,,12,,,,,12,,,,,9,,,,
Burundi,BDI,,,44,,,,,56,,,,,59,,,,,62,,,,
Cambodia,KHM,,,38,,,,,40,,,,,29,,,,,22,,,,
Cameroon,CMR,,,33,,,,,34,,,,,26,,,,,21,,,,
Canada,CAN,,,5,,,,,5,,,,,5,,,,,5,,,,
Cape Verde,CPV,,,12,,,,,14,,,,,15,,,,,10,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,,,44,,,,,47,,,,,43,,,,,40,,,,
Chad,TCD,,,60,,,,,53,,,,,43,,,,,37,,,,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,,7,,,,,5,,,,,5,,,,,5,,,,
China,CHN,,,18,,,,,12,,,,,10,,,,,10,,,,
Colombia,COL,,,15,,,,,11,,,,,10,,,,,10,,,,
Comoros,COM,,,38,,,,,47,,,,,54,,,,,46,,,,
"Congo, Dem. Rep.",ZAR,,,26,,,,,55,,,,,70,,,,,69,,,,
"Congo, Rep.",COG,,,42,,,,,41,,,,,20,,,,,15,,,,
Costa Rica,CRI,,,5,,,,,5,,,,,5,,,,,5,,,,
Cote d'Ivoire,CIV,,,15,,,,,17,,,,,17,,,,,14,,,,
Croatia,HRV,,,18,,,,,13,,,,,9,,,,,5,,,,
Cuba,CUB,,,6,,,,,14,,,,,5,,,,,5,,,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,,,5,,,,,5,,,,,5,,,,,5,,,,
Czech Republic,CZE,,,5,,,,,5,,,,,5,,,,,5,,,,
Denmark,DNK,,,5,,,,,5,,,,,5,,,,,5,,,,
Djibouti,DJI,,,60,,,,,50,,,,,40,,,,,28,,,,
Dominica,DMA,,,5,,,,,5,,,,,5,,,,,5,,,,
Dominican Republic,DOM,,,28,,,,,26,,,,,25,,,,,24,,,,
Ecuador,ECU,,,23,,,,,16,,,,,17,,,,,15,,,,
"Egypt, Arab Rep.",EGY,,,5,,,,,5,,,,,5,,,,,5,,,,
El Salvador,SLV,,,13,,,,,12,,,,,7,,,,,9,,,,
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,,,67,,,,,64,,,,,70,,,,,64,,,,
Estonia,EST,,,10,,,,,5,,,,,5,,,,,5,,,,
Ethiopia,ETH,,,69,,,,,62,,,,,48,,,,,41,,,,
Faeroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,,,8,,,,,5,,,,,5,,,,,5,,,,
Finland,FIN,,,5,,,,,5,,,,,5,,,,,5,,,,
France,FRA,,,5,,,,,5,,,,,5,,,,,5,,,,
French Polynesia,PYF,,,10,,,,,5,,,,,5,,,,,5,,,,
Gabon,GAB,,,6,,,,,5,,,,,5,,,,,5,,,,
"Gambia, The",GMB,,,14,,,,,23,,,,,21,,,,,19,,,,
Georgia,GEO,,,58,,,,,19,,,,,12,,,,,5,,,,
Germany,DEU,,,5,,,,,5,,,,,5,,,,,5,,,,
Ghana,GHA,,,27,,,,,12,,,,,9,,,,,5,,,,
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,,,5,,,,,5,,,,,5,,,,,5,,,,
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,,,13,,,,,18,,,,,24,,,,,20,,,,
Guam,GUM,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,,,15,,,,,20,,,,,22,,,,,21,,,,
Guinea,GIN,,,20,,,,,19,,,,,20,,,,,17,,,,
Guinea-Bissau,GNB,,,22,,,,,26,,,,,25,,,,,22,,,,
Guyana,GUY,,,20,,,,,11,,,,,7,,,,,7,,,,
Haiti,HTI,,,63,,,,,60,,,,,53,,,,,57,,,,
Honduras,HND,,,19,,,,,16,,,,,14,,,,,12,,,,
"Hong Kong SAR, China",HKG,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,,,5,,,,,5,,,,,5,,,,,5,,,,
Iceland,ISL,,,5,,,,,5,,,,,5,,,,,5,,,,
India,IND,,,20,,,,,17,,,,,19,,,,,21,,,,
Indonesia,IDN,,,16,,,,,11,,,,,15,,,,,13,,,,
"Iran, Islamic Rep.",IRN,,,5,,,,,5,,,,,5,,,,,5,,,,
Iraq,IRQ,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,,,5,,,,,5,,,,,5,,,,,5,,,,
Isle of Man,IMY,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,,,5,,,,,5,,,,,5,,,,,5,,,,
Italy,ITA,,,5,,,,,5,,,,,5,,,,,5,,,,
Jamaica,JAM,,,11,,,,,6,,,,,5,,,,,5,,,,
Japan,JPN,,,5,,,,,5,,,,,5,,,,,5,,,,
Jordan,JOR,,,5,,,,,5,,,,,5,,,,,5,,,,
Kazakhstan,KAZ,,,5,,,,,5,,,,,8,,,,,5,,,,
Kenya,KEN,,,33,,,,,31,,,,,32,,,,,31,,,,
Kiribati,KIR,,,8,,,,,6,,,,,5,,,,,5,,,,
"Korea, Dem. Rep.",PRK,,,21,,,,,30,,,,,34,,,,,33,,,,
"Korea, Rep.",KOR,,,5,,,,,5,,,,,5,,,,,5,,,,
Kosovo,KSV,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,,,20,,,,,5,,,,,6,,,,,5,,,,
Kyrgyz Republic,KGZ,,,17,,,,,13,,,,,17,,,,,10,,,,
Lao PDR,LAO,,,31,,,,,29,,,,,26,,,,,23,,,,
Latvia,LVA,,,5,,,,,5,,,,,5,,,,,5,,,,
Lebanon,LBN,,,5,,,,,5,,,,,5,,,,,5,,,,
Lesotho,LSO,,,15,,,,,16,,,,,14,,,,,14,,,,
Liberia,LBR,,,30,,,,,32,,,,,36,,,,,33,,,,
Libya,LBY,,,5,,,,,5,,,,,5,,,,,5,,,,
Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,,,5,,,,,5,,,,,5,,,,,5,,,,
Luxembourg,LUX,,,5,,,,,5,,,,,5,,,,,5,,,,
"Macao SAR, China",MAC,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",MKD,,,11,,,,,9,,,,,6,,,,,5,,,,
Madagascar,MDG,,,21,,,,,26,,,,,28,,,,,25,,,,
Malawi,MWI,,,43,,,,,36,,,,,30,,,,,28,,,,
Malaysia,MYS,,,5,,,,,5,,,,,5,,,,,5,,,,
Maldives,MDV,,,9,,,,,9,,,,,8,,,,,7,,,,
Mali,MLI,,,27,,,,,25,,,,,18,,,,,12,,,,
Malta,MLT,,,5,,,,,5,,,,,5,,,,,5,,,,
Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,
Mauritania,MRT,,,12,,,,,9,,,,,8,,,,,7,,,,
Mauritius,MUS,,,7,,,,,7,,,,,5,,,,,5,,,,
Mayotte,MYT,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,,,5,,,,,5,,,,,5,,,,,5,,,,
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,,,5,,,,,10,,,,,10,,,,,6,,,,
Monaco,MCO,,,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,,,28,,,,,33,,,,,27,,,,,26,,,,
Montenegro,MNE,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,,,6,,,,,6,,,,,6,,,,,5,,,,
Mozambique,MOZ,,,59,,,,,48,,,,,46,,,,,38,,,,
Myanmar,MMR,,,47,,,,,35,,,,,29,,,,,16,,,,
Namibia,NAM,,,32,,,,,30,,,,,21,,,,,19,,,,
Nepal,NPL,,,21,,,,,20,,,,,18,,,,,16,,,,
Netherlands,NLD,,,5,,,,,5,,,,,5,,,,,5,,,,
New Caledonia,NCL,,,8,,,,,9,,,,,8,,,,,9,,,,
New Zealand,NZL,,,5,,,,,5,,,,,5,,,,,5,,,,
