Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,AFG,,,,,,,,,,,,,,,,8.5,,,,,
Albania,ALB,,,,,,,,,,,,22.7,,,,,,,12.7,,
Algeria,DZA,19.8,20.6,23,23.2,24.4,27.9,,25.4,,,29.8,27.3,25.9,23.7,20.1,15.3,12.3,13.8,11.3,,
American Samoa,ASM,3.5,,,,,,,,,,5.1,,,,,,,,,,
Andorra,ADO,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,6,,,,,,,,,,8.4,,,,,,,,,
Argentina,ARG,7.3,5.8,6.7,10.1,12.1,18.8,17.2,14.9,12.8,14.1,15,18.3,17.9,16.1,12.6,10.6,10.1,8.5,7.8,8.6,
Armenia,ARM,,,,,,,,36.4,,,,35.9,,,,,,28.4,28.6,,
Aruba,ABW,,6.1,,,6.7,,,7.5,,,6.9,6.9,,,,,,5.7,,,
Australia,AUS,6.9,9.6,10.8,10.9,9.7,8.5,8.5,8.5,7.7,6.9,6.3,6.8,6.4,5.9,5.4,5,4.8,4.4,4.2,5.6,
Austria,AUT,3.2,3.4,3.6,4.2,3.5,3.7,4.1,4.2,4.2,3.7,3.5,3.6,4,4.3,4.9,5.2,4.7,4.4,3.8,4.8,
Azerbaijan,AZE,,,,,,,,,,16.3,,,,,9,8.1,6.8,6.5,6.1,,
"Bahamas, The",BHS,,12.2,14.7,13,13.4,10.8,11.5,9.8,7.6,7.4,,6.9,9,10.8,10.3,10.2,7.6,7.9,8.7,14.2,
Bahrain,BHR,,6.3,,,,,,,,,,5.5,,,,,,,,,
Bangladesh,BGD,,1.9,,,,,2.5,,,,3.3,,,4.3,,4.3,,,,,
Barbados,BRB,15,17.1,22.9,25.6,23,19.7,14.7,14.6,12.3,10.4,9.3,9.8,10.3,11,9.8,9.1,8.7,7.4,8.1,,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,7.2,7,6.7,8.1,9.6,9.3,9.5,9,9.3,8.6,6.6,6.2,7.5,8.2,8.4,8.4,8.2,7.5,7,7.9,
Belize,BLZ,,3.9,,9.8,11.1,12.5,13.8,12.7,14.3,12.8,,9.1,10,,,11,9.4,8.5,8.2,,
