Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,AFG,18.3,18.6,18.9,19.2,19.5,19.8,20.1,20.4,20.7,21,21.3,21.62,21.94,22.26,22.58,22.9,23.28,23.66,24.04,24.42,24.8
Albania,ALB,36.4,36.9,37.4,37.9,38.4,38.9,39.46,40.02,40.58,41.14,41.7,42.32,42.94,43.56,44.18,44.8,45.44,46.08,46.72,47.36,48
Algeria,DZA,52.1,52.88,53.66,54.44,55.22,56,56.76,57.52,58.28,59.04,59.8,60.5,61.2,61.9,62.6,63.3,63.94,64.58,65.22,65.86,66.5
American Samoa,ASM,80.9,81.78,82.66,83.54,84.42,85.3,86,86.7,87.4,88.1,88.8,89.3,89.8,90.3,90.8,91.3,91.64,91.98,92.32,92.66,93
Andorra,ADO,94.7,94.5,94.3,94.1,93.9,93.7,93.44,93.18,92.92,92.66,92.4,91.98,91.56,91.14,90.72,90.3,89.84,89.38,88.92,88.46,88
Angola,AGO,37.1,38.48,39.86,41.24,42.62,44,45,46,47,48,49,50,51,52,53,54,54.9,55.8,56.7,57.6,58.5
Antigua and Barbuda,ATG,35.4,35.12,34.84,34.56,34.28,34,33.62,33.24,32.86,32.48,32.1,31.82,31.54,31.26,30.98,30.7,30.62,30.54,30.46,30.38,30.3
Argentina,ARG,87,87.34,87.68,88.02,88.36,88.7,88.98,89.26,89.54,89.82,90.1,90.36,90.62,90.88,91.14,91.4,91.6,91.8,92,92.2,92.4
Armenia,ARM,67.5,67.26,67.02,66.78,66.54,66.3,66.06,65.82,65.58,65.34,65.1,64.9,64.7,64.5,64.3,64.1,64.02,63.94,63.86,63.78,63.7
Aruba,ABW,50.3,50,49.7,49.4,49.1,48.8,48.38,47.96,47.54,47.12,46.7,46.68,46.66,46.64,46.62,46.6,46.66,46.72,46.78,46.84,46.9
Australia,AUS,85.4,85.54,85.68,85.82,85.96,86.1,86.32,86.54,86.76,86.98,87.2,87.4,87.6,87.8,88,88.2,88.38,88.56,88.74,88.92,89.1
Austria,AUT,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.94,66.08,66.22,66.36,66.5,66.72,66.94,67.16,67.38,67.6
Azerbaijan,AZE,53.7,53.4,53.1,52.8,52.5,52.2,52,51.8,51.6,51.4,51.2,51.26,51.32,51.38,51.44,51.5,51.64,51.78,51.92,52.06,52.2
"Bahamas, The",BHS,79.8,80.04,80.28,80.52,80.76,81,81.2,81.4,81.6,81.8,82,82.22,82.44,82.66,82.88,83.1,83.3,83.5,83.7,83.9,84.1
Bahrain,BHR,88.1,88.16,88.22,88.28,88.34,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.44,88.48,88.52,88.56,88.6
Bangladesh,BGD,19.8,20.18,20.56,20.94,21.32,21.7,22.08,22.46,22.84,23.22,23.6,24.02,24.44,24.86,25.28,25.7,26.18,26.66,27.14,27.62,28.1
Barbados,BRB,32.7,33.06,33.42,33.78,34.14,34.5,34.86,35.22,35.58,35.94,36.3,36.72,37.14,37.56,37.98,38.4,38.88,39.36,39.84,40.32,40.8
Belarus,BLR,66,66.38,66.76,67.14,67.52,67.9,68.3,68.7,69.1,69.5,69.9,70.36,70.82,71.28,71.74,72.2,72.62,73.04,73.46,73.88,74.3
